Trade-#,Instrument,Account,Strategy,Market pos.,Quantity,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cumprofit,Commission,MAE,MFE,ETD,Bars,Outcome,Side
371,NQ 03-20,Replay101,20_20,Short,1,8982.5,8977.5,01/10/2020 2:59 PM,01/10/2020 3:00 PM,Entry,Target1,100,1990,0,30,100,0,0,1,-1
372,NQ 03-20,Replay101,20_20,Long,1,8981.75,8976.75,01/10/2020 3:00 PM,01/10/2020 3:06 PM,Entry,Stop1,-100,1890,0,100,55,155,0,-1,1
373,NQ 03-20,Replay101,20_20,Short,1,9008,9003,01/12/2020 7:30 PM,01/12/2020 7:58 PM,Entry,Target1,100,1990,0,50,100,0,0,1,-1
374,NQ 03-20,Replay101,20_20,Long,1,9012.25,9017.25,01/12/2020 9:48 PM,01/13/2020 12:05 AM,Entry,Target1,100,2090,0,70,100,0,0,1,1
375,NQ 03-20,Replay101,20_20,Short,1,9013.75,9008.75,01/13/2020 12:20 AM,01/13/2020 12:59 AM,Entry,Target1,100,2190,0,5,100,0,0,1,-1
376,NQ 03-20,Replay101,20_20,Long,1,9017.75,9022.75,01/13/2020 3:32 AM,01/13/2020 3:51 AM,Entry,Target1,100,2290,0,40,100,0,0,1,1
377,NQ 03-20,Replay101,20_20,Long,1,9025.25,9021.75,01/13/2020 4:43 AM,01/13/2020 5:16 AM,Entry,Stop1,-70,2220,0,100,40,110,0,-1,1
378,NQ 03-20,Replay101,20_20,Long,1,9022.75,9017.75,01/13/2020 7:17 AM,01/13/2020 7:52 AM,Entry,Stop1,-100,2120,0,100,30,130,0,-1,1
379,NQ 03-20,Replay101,20_20,Long,1,9027.75,9023.25,01/13/2020 8:31 AM,01/13/2020 8:31 AM,Entry,Stop1,-90,2030,0,100,20,110,0,-1,1
380,NQ 03-20,Replay101,20_20,Short,1,9022.25,9017.25,01/13/2020 8:32 AM,01/13/2020 8:32 AM,Entry,Target1,100,2130,0,25,100,0,0,1,-1
381,NQ 03-20,Replay101,20_20,Long,1,9021.5,9016.5,01/13/2020 8:33 AM,01/13/2020 8:34 AM,Entry,Stop1,-100,2030,0,100,30,130,0,-1,1
382,NQ 03-20,Replay101,20_20,Long,1,9019,9024,01/13/2020 8:35 AM,01/13/2020 8:36 AM,Entry,Target1,100,2130,0,20,100,0,0,1,1
383,NQ 03-20,Replay101,20_20,Short,1,9022.25,9017.25,01/13/2020 8:36 AM,01/13/2020 8:40 AM,Entry,Target1,100,2230,0,90,100,0,0,1,-1
384,NQ 03-20,Replay101,20_20,Long,1,9009,9014,01/13/2020 8:42 AM,01/13/2020 8:42 AM,Entry,Target1,100,2330,0,10,100,0,0,1,1
385,NQ 03-20,Replay101,20_20,Short,1,9017.25,9022.25,01/13/2020 8:47 AM,01/13/2020 8:48 AM,Entry,Stop1,-100,2230,0,100,20,120,0,-1,-1
386,NQ 03-20,Replay101,20_20,Long,1,9024,9029,01/13/2020 8:53 AM,01/13/2020 8:56 AM,Entry,Target1,100,2330,0,80,100,0,0,1,1
387,NQ 03-20,Replay101,20_20,Long,1,9026.5,9031.5,01/13/2020 9:22 AM,01/13/2020 9:24 AM,Entry,Target1,100,2430,0,10,100,0,0,1,1
388,NQ 03-20,Replay101,20_20,Short,1,9023.75,9028.5,01/13/2020 9:34 AM,01/13/2020 9:48 AM,Entry,Stop1,-95,2335,0,95,75,170,0,-1,-1
389,NQ 03-20,Replay101,20_20,Short,1,9034.75,9039.25,01/13/2020 10:10 AM,01/13/2020 10:12 AM,Entry,Stop1,-90,2245,0,95,35,125,0,-1,-1
390,NQ 03-20,Replay101,20_20,Long,1,9039,9044,01/13/2020 10:16 AM,01/13/2020 10:28 AM,Entry,Target1,100,2345,0,70,120,20,0,1,1
391,NQ 03-20,Replay101,20_20,Short,1,9041.75,9036.75,01/13/2020 10:28 AM,01/13/2020 10:28 AM,Entry,Target1,100,2445,0,90,100,0,0,1,-1
392,NQ 03-20,Replay101,20_20,Short,1,9042.25,9047.25,01/13/2020 10:30 AM,01/13/2020 10:31 AM,Entry,Stop1,-100,2345,0,100,60,160,0,-1,-1
393,NQ 03-20,Replay101,20_20,Short,1,9044.75,9039.75,01/13/2020 10:32 AM,01/13/2020 10:34 AM,Entry,Target1,100,2445,0,50,150,50,0,1,-1
394,NQ 03-20,Replay101,20_20,Short,1,9061.25,9065.5,01/13/2020 11:05 AM,01/13/2020 11:30 AM,Entry,Stop1,-85,2360,0,100,40,125,0,-1,-1
395,NQ 03-20,Replay101,20_20,Short,1,9067.25,9062,01/13/2020 12:30 PM,01/13/2020 1:01 PM,Entry,Target1,105,2465,0,40,110,5,0,1,-1
396,NQ 03-20,Replay101,20_20,Short,1,9072.25,9067.25,01/13/2020 1:43 PM,01/13/2020 2:18 PM,Entry,Target1,100,2565,0,60,100,0,0,1,-1
397,NQ 03-20,Replay101,20_20,Short,1,9104.75,9099.75,01/13/2020 7:17 PM,01/13/2020 7:32 PM,Entry,Target1,100,2665,0,25,100,0,0,1,-1
398,NQ 03-20,Replay101,20_20,Long,1,9100.25,9095.25,01/13/2020 8:15 PM,01/13/2020 9:00 PM,Entry,Stop1,-100,2565,0,100,90,190,0,-1,1
399,NQ 03-20,Replay101,20_20,Long,1,9089,9084,01/13/2020 9:26 PM,01/13/2020 9:33 PM,Entry,Stop1,-100,2465,0,100,0,0,0,-1,1
400,NQ 03-20,Replay101,20_20,Short,1,9086.25,9081.25,01/13/2020 9:46 PM,01/13/2020 9:46 PM,Entry,Target1,100,2565,0,55,105,5,0,1,-1
401,NQ 03-20,Replay101,20_20,Long,1,9083.75,9088.75,01/13/2020 9:52 PM,01/13/2020 10:15 PM,Entry,Target1,100,2665,0,5,100,0,0,1,1
402,NQ 03-20,Replay101,20_20,Long,1,9087.75,9093,01/13/2020 10:43 PM,01/13/2020 11:16 PM,Entry,Target1,105,2770,0,75,115,10,0,1,1
403,NQ 03-20,Replay101,20_20,Long,1,9085.5,9090.5,01/14/2020 12:11 AM,01/14/2020 1:02 AM,Entry,Target1,100,2870,0,65,100,0,0,1,1
404,NQ 03-20,Replay101,20_20,Short,1,9075.5,9070.5,01/14/2020 1:46 AM,01/14/2020 2:00 AM,Entry,Target1,100,2970,0,40,100,0,0,1,-1
405,NQ 03-20,Replay101,20_20,Short,1,9048.25,9053.5,01/14/2020 2:33 AM,01/14/2020 2:39 AM,Entry,Stop1,-105,2865,0,105,45,150,0,-1,-1
406,NQ 03-20,Replay101,20_20,Short,1,9051,9056,01/14/2020 2:41 AM,01/14/2020 2:46 AM,Entry,Stop1,-100,2765,0,100,10,110,0,-1,-1
407,NQ 03-20,Replay101,20_20,Short,1,9066.25,9071,01/14/2020 3:11 AM,01/14/2020 3:13 AM,Entry,Stop1,-95,2670,0,100,10,105,0,-1,-1
408,NQ 03-20,Replay101,20_20,Long,1,9085.75,9090.75,01/14/2020 3:45 AM,01/14/2020 3:51 AM,Entry,Target1,100,2770,0,35,100,0,0,1,1
409,NQ 03-20,Replay101,20_20,Long,1,9078,9083,01/14/2020 6:50 AM,01/14/2020 7:01 AM,Entry,Target1,100,2870,0,20,120,20,0,1,1
410,NQ 03-20,Replay101,20_20,Long,1,9085.5,9080.5,01/14/2020 7:10 AM,01/14/2020 7:18 AM,Entry,Stop1,-100,2770,0,100,0,0,0,-1,1
411,NQ 03-20,Replay101,20_20,Long,1,9079.75,9084.75,01/14/2020 7:30 AM,01/14/2020 7:33 AM,Entry,Target1,100,2870,0,95,100,0,0,1,1
412,NQ 03-20,Replay101,20_20,Long,1,9079.25,9084.25,01/14/2020 8:30 AM,01/14/2020 8:30 AM,Entry,Target1,100,2970,0,15,100,0,0,1,1
413,NQ 03-20,Replay101,20_20,Short,1,9068.75,9073.75,01/14/2020 8:32 AM,01/14/2020 8:33 AM,Entry,Stop1,-100,2870,0,100,40,140,0,-1,-1
414,NQ 03-20,Replay101,20_20,Long,1,9062.75,9057.75,01/14/2020 8:41 AM,01/14/2020 8:42 AM,Entry,Stop1,-100,2770,0,100,15,115,0,-1,1
415,NQ 03-20,Replay101,20_20,Long,1,9063,9058.25,01/14/2020 8:47 AM,01/14/2020 8:50 AM,Entry,Stop1,-95,2675,0,95,105,200,0,-1,1
416,NQ 03-20,Replay101,20_20,Long,1,9050.5,9055.5,01/14/2020 8:52 AM,01/14/2020 8:54 AM,Entry,Target1,100,2775,0,30,100,0,0,1,1
417,NQ 03-20,Replay101,20_20,Short,1,9037.5,9042.5,01/14/2020 9:00 AM,01/14/2020 9:00 AM,Entry,Stop1,-100,2675,0,100,40,140,0,-1,-1
418,NQ 03-20,Replay101,20_20,Short,1,9051.5,9056.5,01/14/2020 9:04 AM,01/14/2020 9:04 AM,Entry,Stop1,-100,2575,0,100,5,105,0,-1,-1
419,NQ 03-20,Replay101,20_20,Short,1,9067.5,9062.5,01/14/2020 9:19 AM,01/14/2020 9:20 AM,Entry,Target1,100,2675,0,30,100,0,0,1,-1
420,NQ 03-20,Replay101,20_20,Short,1,9066.25,9071,01/14/2020 9:26 AM,01/14/2020 9:30 AM,Entry,Stop1,-95,2580,0,100,20,115,0,-1,-1
421,NQ 03-20,Replay101,20_20,Short,1,9072.75,9067.75,01/14/2020 9:40 AM,01/14/2020 9:45 AM,Entry,Target1,100,2680,0,35,115,15,0,1,-1
422,NQ 03-20,Replay101,20_20,Short,1,9062.5,9067.5,01/14/2020 10:02 AM,01/14/2020 10:07 AM,Entry,Stop1,-100,2580,0,100,60,160,0,-1,-1
423,NQ 03-20,Replay101,20_20,Short,1,9064,9059,01/14/2020 10:13 AM,01/14/2020 10:21 AM,Entry,Target1,100,2680,0,55,100,0,0,1,-1
424,NQ 03-20,Replay101,20_20,Short,1,9063.75,9068.5,01/14/2020 10:24 AM,01/14/2020 10:37 AM,Entry,Stop1,-95,2585,0,100,50,145,0,-1,-1
425,NQ 03-20,Replay101,20_20,Short,1,9073.75,9078.75,01/14/2020 11:05 AM,01/14/2020 11:10 AM,Entry,Stop1,-100,2485,0,100,0,0,0,-1,-1
426,NQ 03-20,Replay101,20_20,Short,1,9076.5,9080.75,01/14/2020 11:15 AM,01/14/2020 11:22 AM,Entry,Stop1,-85,2400,0,95,65,150,0,-1,-1
427,NQ 03-20,Replay101,20_20,Short,1,9085,9080,01/14/2020 11:43 AM,01/14/2020 11:59 AM,Entry,Target1,100,2500,0,80,100,0,0,1,-1
428,NQ 03-20,Replay101,20_20,Long,1,9088,9093,01/14/2020 12:21 PM,01/14/2020 12:31 PM,Entry,Target1,100,2600,0,20,100,0,0,1,1
429,NQ 03-20,Replay101,20_20,Short,1,9057.5,9062.5,01/14/2020 12:37 PM,01/14/2020 12:37 PM,Entry,Stop1,-100,2500,0,100,20,120,0,-1,-1
430,NQ 03-20,Replay101,20_20,Long,1,9066.75,9071.75,01/14/2020 12:37 PM,01/14/2020 12:38 PM,Entry,Target1,100,2600,0,20,100,0,0,1,1
431,NQ 03-20,Replay101,20_20,Short,1,9068.75,9073.25,01/14/2020 12:38 PM,01/14/2020 12:38 PM,Entry,Stop1,-90,2510,0,95,30,120,0,-1,-1
432,NQ 03-20,Replay101,20_20,Long,1,9079.25,9074.5,01/14/2020 12:41 PM,01/14/2020 12:43 PM,Entry,Stop1,-95,2415,0,100,70,165,0,-1,1
433,NQ 03-20,Replay101,20_20,Short,1,9063.5,9058.5,01/14/2020 12:45 PM,01/14/2020 12:46 PM,Entry,Target1,100,2515,0,40,100,0,0,1,-1
434,NQ 03-20,Replay101,20_20,Short,1,9057.5,9062.5,01/14/2020 12:48 PM,01/14/2020 12:49 PM,Entry,Stop1,-100,2415,0,100,30,130,0,-1,-1
435,NQ 03-20,Replay101,20_20,Long,1,9063,9068,01/14/2020 12:49 PM,01/14/2020 12:49 PM,Entry,Target1,100,2515,0,5,100,0,0,1,1
436,NQ 03-20,Replay101,20_20,Short,1,9063.75,9058.75,01/14/2020 12:54 PM,01/14/2020 12:55 PM,Entry,Target1,100,2615,0,10,110,10,0,1,-1
437,NQ 03-20,Replay101,20_20,Short,1,9055,9050,01/14/2020 1:02 PM,01/14/2020 1:02 PM,Entry,Target1,100,2715,0,5,100,0,0,1,-1
438,NQ 03-20,Replay101,20_20,Long,1,9044.75,9049.75,01/14/2020 1:04 PM,01/14/2020 1:05 PM,Entry,Target1,100,2815,0,20,100,0,0,1,1
439,NQ 03-20,Replay101,20_20,Short,1,9053,9048,01/14/2020 1:08 PM,01/14/2020 1:08 PM,Entry,Target1,100,2915,0,10,100,0,0,1,-1
440,NQ 03-20,Replay101,20_20,Long,1,9049.25,9044.25,01/14/2020 1:09 PM,01/14/2020 1:11 PM,Entry,Stop1,-100,2815,0,100,80,180,0,-1,1
441,NQ 03-20,Replay101,20_20,Long,1,9046.5,9051.5,01/14/2020 1:18 PM,01/14/2020 1:22 PM,Entry,Target1,100,2915,0,45,100,0,0,1,1
442,NQ 03-20,Replay101,20_20,Short,1,9071.25,9076.25,01/14/2020 1:39 PM,01/14/2020 1:44 PM,Entry,Stop1,-100,2815,0,100,40,140,0,-1,-1
443,NQ 03-20,Replay101,20_20,Long,1,9061.75,9057,01/14/2020 2:00 PM,01/14/2020 2:08 PM,Entry,Stop1,-95,2720,0,100,70,165,0,-1,1
444,NQ 03-20,Replay101,20_20,Long,1,9059.25,9054.5,01/14/2020 2:08 PM,01/14/2020 2:09 PM,Entry,Stop1,-95,2625,0,100,0,0,0,-1,1
445,NQ 03-20,Replay101,20_20,Long,1,9057.5,9052.75,01/14/2020 2:10 PM,01/14/2020 2:10 PM,Entry,Stop1,-95,2530,0,95,20,115,0,-1,1
446,NQ 03-20,Replay101,20_20,Short,1,9047.5,9042.5,01/14/2020 2:28 PM,01/14/2020 2:30 PM,Entry,Target1,100,2630,0,0,100,0,0,1,-1
447,NQ 03-20,Replay101,20_20,Short,1,9059,9054,01/14/2020 2:48 PM,01/14/2020 2:49 PM,Entry,Target1,100,2730,0,5,100,0,0,1,-1
448,NQ 03-20,Replay101,20_20,Long,1,9041.75,9046.75,01/14/2020 2:52 PM,01/14/2020 2:55 PM,Entry,Target1,100,2830,0,70,100,0,0,1,1
449,NQ 03-20,Replay101,20_20,Short,1,9043.75,9048.75,01/14/2020 2:57 PM,01/14/2020 2:58 PM,Entry,Stop1,-100,2730,0,100,0,0,0,-1,-1
450,NQ 03-20,Replay101,20_20,Long,1,9036.5,9041.5,01/14/2020 7:00 PM,01/14/2020 7:02 PM,Entry,Target1,100,2830,0,5,100,0,0,1,1
451,NQ 03-20,Replay101,20_20,Long,1,9045.75,9040.75,01/14/2020 8:12 PM,01/14/2020 8:15 PM,Entry,Stop1,-100,2730,0,100,0,0,0,-1,1
452,NQ 03-20,Replay101,20_20,Short,1,9034.75,9039.5,01/14/2020 10:31 PM,01/14/2020 10:57 PM,Entry,Stop1,-95,2635,0,100,20,115,0,-1,-1
453,NQ 03-20,Replay101,20_20,Short,1,9035.75,9040.75,01/14/2020 11:08 PM,01/14/2020 11:54 PM,Entry,Stop1,-100,2535,0,100,80,180,0,-1,-1
454,NQ 03-20,Replay101,20_20,Long,1,9048.5,9053.5,01/15/2020 12:56 AM,01/15/2020 1:27 AM,Entry,Target1,100,2635,0,75,100,0,0,1,1
455,NQ 03-20,Replay101,20_20,Short,1,9053,9057.75,01/15/2020 1:46 AM,01/15/2020 2:02 AM,Entry,Stop1,-95,2540,0,100,50,145,0,-1,-1
456,NQ 03-20,Replay101,20_20,Short,1,9054.5,9049.5,01/15/2020 2:11 AM,01/15/2020 2:11 AM,Entry,Target1,100,2640,0,5,105,5,0,1,-1
457,NQ 03-20,Replay101,20_20,Long,1,9045.5,9050.5,01/15/2020 2:22 AM,01/15/2020 2:22 AM,Entry,Target1,100,2740,0,5,100,0,0,1,1
458,NQ 03-20,Replay101,20_20,Long,1,9056.25,9051.25,01/15/2020 2:48 AM,01/15/2020 2:52 AM,Entry,Stop1,-100,2640,0,100,10,110,0,-1,1
459,NQ 03-20,Replay101,20_20,Long,1,9048.75,9053.75,01/15/2020 3:31 AM,01/15/2020 4:05 AM,Entry,Target1,100,2740,0,80,100,0,0,1,1
460,NQ 03-20,Replay101,20_20,Short,1,9053.25,9058.25,01/15/2020 4:49 AM,01/15/2020 5:00 AM,Entry,Stop1,-100,2640,0,100,40,140,0,-1,-1
461,NQ 03-20,Replay101,20_20,Short,1,9055,9060,01/15/2020 5:02 AM,01/15/2020 5:45 AM,Entry,Stop1,-100,2540,0,100,65,165,0,-1,-1
462,NQ 03-20,Replay101,20_20,Short,1,9062,9057,01/15/2020 6:23 AM,01/15/2020 6:24 AM,Entry,Target1,100,2640,0,0,100,0,0,1,-1
463,NQ 03-20,Replay101,20_20,Short,1,9065.75,9060.75,01/15/2020 7:32 AM,01/15/2020 7:32 AM,Entry,Target1,100,2740,0,0,110,10,0,1,-1
464,NQ 03-20,Replay101,20_20,Short,1,9054.5,9049.5,01/15/2020 7:48 AM,01/15/2020 7:49 AM,Entry,Target1,100,2840,0,0,100,0,0,1,-1
465,NQ 03-20,Replay101,20_20,Short,1,9050.75,9055.25,01/15/2020 8:10 AM,01/15/2020 8:25 AM,Entry,Stop1,-90,2750,0,100,20,110,0,-1,-1
466,NQ 03-20,Replay101,20_20,Long,1,9056.25,9061.25,01/15/2020 8:30 AM,01/15/2020 8:30 AM,Entry,Target1,100,2850,0,0,100,0,0,1,1
467,NQ 03-20,Replay101,20_20,Long,1,9069.75,9074.75,01/15/2020 8:35 AM,01/15/2020 8:35 AM,Entry,Target1,100,2950,0,5,115,15,0,1,1
468,NQ 03-20,Replay101,20_20,Short,1,9073.25,9078,01/15/2020 8:35 AM,01/15/2020 8:39 AM,Entry,Stop1,-95,2855,0,100,20,115,0,-1,-1
469,NQ 03-20,Replay101,20_20,Short,1,9074.5,9069.5,01/15/2020 8:39 AM,01/15/2020 8:42 AM,Entry,Target1,100,2955,0,90,100,0,0,1,-1
470,NQ 03-20,Replay101,20_20,Long,1,9066.25,9071.25,01/15/2020 8:46 AM,01/15/2020 8:49 AM,Entry,Target1,100,3055,0,60,100,0,0,1,1
471,NQ 03-20,Replay101,20_20,Short,1,9079.75,9084.5,01/15/2020 8:58 AM,01/15/2020 8:59 AM,Entry,Stop1,-95,2960,0,95,15,110,0,-1,-1
472,NQ 03-20,Replay101,20_20,Long,1,9082.25,9087.75,01/15/2020 9:05 AM,01/15/2020 9:09 AM,Entry,Target1,110,3070,0,25,115,5,0,1,1
473,NQ 03-20,Replay101,20_20,Short,1,9087,9082,01/15/2020 9:10 AM,01/15/2020 9:12 AM,Entry,Target1,100,3170,0,0,100,0,0,1,-1
474,NQ 03-20,Replay101,20_20,Short,1,9087,9091.5,01/15/2020 9:39 AM,01/15/2020 9:43 AM,Entry,Stop1,-90,3080,0,100,40,130,0,-1,-1
475,NQ 03-20,Replay101,20_20,Long,1,9093.75,9088.75,01/15/2020 9:45 AM,01/15/2020 9:50 AM,Entry,Stop1,-100,2980,0,100,40,140,0,-1,1
476,NQ 03-20,Replay101,20_20,Short,1,9088.25,9093,01/15/2020 9:52 AM,01/15/2020 9:56 AM,Entry,Stop1,-95,2885,0,100,30,125,0,-1,-1
477,NQ 03-20,Replay101,20_20,Long,1,9086.25,9081.25,01/15/2020 10:04 AM,01/15/2020 10:06 AM,Entry,Stop1,-100,2785,0,100,80,180,0,-1,1
478,NQ 03-20,Replay101,20_20,Long,1,9075,9080,01/15/2020 10:12 AM,01/15/2020 10:14 AM,Entry,Target1,100,2885,0,30,100,0,0,1,1
479,NQ 03-20,Replay101,20_20,Short,1,9082,9086.25,01/15/2020 10:43 AM,01/15/2020 10:52 AM,Entry,Stop1,-85,2800,0,100,30,115,0,-1,-1
480,NQ 03-20,Replay101,20_20,Short,1,9082.25,9077.25,01/15/2020 10:54 AM,01/15/2020 10:58 AM,Entry,Target1,100,2900,0,35,100,0,0,1,-1
481,NQ 03-20,Replay101,20_20,Long,1,9075,9080,01/15/2020 10:59 AM,01/15/2020 11:02 AM,Entry,Target1,100,3000,0,15,100,0,0,1,1
482,NQ 03-20,Replay101,20_20,Short,1,9076,9081,01/15/2020 11:03 AM,01/15/2020 11:06 AM,Entry,Stop1,-100,2900,0,100,15,115,0,-1,-1
483,NQ 03-20,Replay101,20_20,Long,1,9082.5,9077.5,01/15/2020 11:21 AM,01/15/2020 11:31 AM,Entry,Stop1,-100,2800,0,100,40,140,0,-1,1
484,NQ 03-20,Replay101,20_20,Long,1,9076.25,9081.25,01/15/2020 11:36 AM,01/15/2020 11:37 AM,Entry,Target1,100,2900,0,10,100,0,0,1,1
485,NQ 03-20,Replay101,20_20,Short,1,9080.25,9075.25,01/15/2020 11:44 AM,01/15/2020 11:49 AM,Entry,Target1,100,3000,0,55,100,0,0,1,-1
486,NQ 03-20,Replay101,20_20,Short,1,9063.5,9068.5,01/15/2020 12:04 PM,01/15/2020 12:05 PM,Entry,Stop1,-100,2900,0,100,35,135,0,-1,-1
487,NQ 03-20,Replay101,20_20,Short,1,9061,9065.75,01/15/2020 12:08 PM,01/15/2020 12:10 PM,Entry,Stop1,-95,2805,0,95,25,120,0,-1,-1
488,NQ 03-20,Replay101,20_20,Short,1,9062,9066.25,01/15/2020 12:11 PM,01/15/2020 12:17 PM,Entry,Stop1,-85,2720,0,100,60,145,0,-1,-1
489,NQ 03-20,Replay101,20_20,Short,1,9065.5,9060.5,01/15/2020 12:21 PM,01/15/2020 12:23 PM,Entry,Target1,100,2820,0,15,105,5,0,1,-1
490,NQ 03-20,Replay101,20_20,Short,1,9062.25,9057.25,01/15/2020 12:33 PM,01/15/2020 12:33 PM,Entry,Target1,100,2920,0,5,105,5,0,1,-1
491,NQ 03-20,Replay101,20_20,Short,1,9060.75,9055.75,01/15/2020 12:44 PM,01/15/2020 12:51 PM,Entry,Target1,100,3020,0,60,100,0,0,1,-1
492,NQ 03-20,Replay101,20_20,Long,1,9048.5,9053.5,01/15/2020 12:59 PM,01/15/2020 1:00 PM,Entry,Target1,100,3120,0,5,100,0,0,1,1
493,NQ 03-20,Replay101,20_20,Short,1,9069.5,9064.5,01/15/2020 1:49 PM,01/15/2020 1:58 PM,Entry,Target1,100,3220,0,20,100,0,0,1,-1
494,NQ 03-20,Replay101,20_20,Long,1,9050,9045,01/15/2020 2:13 PM,01/15/2020 2:18 PM,Entry,Stop1,-100,3120,0,100,60,160,0,-1,1
495,NQ 03-20,Replay101,20_20,Short,1,9045.75,9040.75,01/15/2020 2:22 PM,01/15/2020 2:23 PM,Entry,Target1,100,3220,0,40,110,10,0,1,-1
496,NQ 03-20,Replay101,20_20,Short,1,9035.75,9030.75,01/15/2020 2:30 PM,01/15/2020 2:32 PM,Entry,Target1,100,3320,0,50,110,10,0,1,-1
497,NQ 03-20,Replay101,20_20,Long,1,9038.75,9034,01/15/2020 2:38 PM,01/15/2020 2:40 PM,Entry,Stop1,-95,3225,0,100,0,0,0,-1,1
498,NQ 03-20,Replay101,20_20,Long,1,9032,9037,01/15/2020 2:43 PM,01/15/2020 2:45 PM,Entry,Target1,100,3325,0,5,105,5,0,1,1
499,NQ 03-20,Replay101,20_20,Long,1,9047.5,9052.5,01/15/2020 2:55 PM,01/15/2020 2:59 PM,Entry,Target1,100,3425,0,70,100,0,0,1,1
500,NQ 03-20,Replay101,20_20,Short,1,9053.25,9058,01/15/2020 3:05 PM,01/15/2020 3:07 PM,Entry,Stop1,-95,3330,0,95,5,100,0,-1,-1
501,NQ 03-20,Replay101,20_20,Short,1,9056.25,9061,01/15/2020 3:11 PM,01/15/2020 3:14 PM,Entry,Stop1,-95,3235,0,100,30,125,0,-1,-1
502,NQ 03-20,Replay101,20_20,Long,1,9080,9075,01/15/2020 5:44 PM,01/15/2020 5:48 PM,Entry,Stop1,-100,3135,0,100,15,115,0,-1,1
503,NQ 03-20,Replay101,20_20,Short,1,9069.25,9064.25,01/15/2020 7:30 PM,01/15/2020 7:36 PM,Entry,Target1,100,3235,0,5,100,0,0,1,-1
504,NQ 03-20,Replay101,20_20,Short,1,9088,9093,01/16/2020 2:03 AM,01/16/2020 2:30 AM,Entry,Stop1,-100,3135,0,100,35,135,0,-1,-1
505,NQ 03-20,Replay101,20_20,Long,1,9103.75,9098.75,01/16/2020 2:39 AM,01/16/2020 3:03 AM,Entry,Stop1,-100,3035,0,100,5,105,0,-1,1
506,NQ 03-20,Replay101,20_20,Long,1,9092.5,9087.75,01/16/2020 3:30 AM,01/16/2020 4:04 AM,Entry,Stop1,-95,2940,0,95,40,135,0,-1,1
507,NQ 03-20,Replay101,20_20,Short,1,9095.75,9090.75,01/16/2020 5:05 AM,01/16/2020 5:09 AM,Entry,Target1,100,3040,0,15,100,0,0,1,-1
508,NQ 03-20,Replay101,20_20,Short,1,9097.5,9092.5,01/16/2020 6:24 AM,01/16/2020 6:29 AM,Entry,Target1,100,3140,0,5,105,5,0,1,-1
509,NQ 03-20,Replay101,20_20,Short,1,9093,9097.5,01/16/2020 7:05 AM,01/16/2020 7:33 AM,Entry,Stop1,-90,3050,0,100,50,140,0,-1,-1
510,NQ 03-20,Replay101,20_20,Short,1,9104.25,9099.25,01/16/2020 8:34 AM,01/16/2020 8:36 AM,Entry,Target1,100,3150,0,70,100,0,0,1,-1
511,NQ 03-20,Replay101,20_20,Short,1,9104.5,9109.5,01/16/2020 8:39 AM,01/16/2020 8:40 AM,Entry,Stop1,-100,3050,0,100,15,115,0,-1,-1
512,NQ 03-20,Replay101,20_20,Short,1,9110.5,9115.5,01/16/2020 8:43 AM,01/16/2020 8:45 AM,Entry,Stop1,-100,2950,0,100,30,130,0,-1,-1
513,NQ 03-20,Replay101,20_20,Long,1,9107.25,9102.5,01/16/2020 8:50 AM,01/16/2020 8:52 AM,Entry,Stop1,-95,2855,0,100,60,155,0,-1,1
514,NQ 03-20,Replay101,20_20,Short,1,9108,9112.5,01/16/2020 8:59 AM,01/16/2020 9:00 AM,Entry,Stop1,-90,2765,0,100,40,130,0,-1,-1
515,NQ 03-20,Replay101,20_20,Short,1,9110.5,9115.5,01/16/2020 9:03 AM,01/16/2020 9:07 AM,Entry,Stop1,-100,2665,0,100,75,175,0,-1,-1
516,NQ 03-20,Replay101,20_20,Long,1,9105.75,9100.75,01/16/2020 9:28 AM,01/16/2020 9:38 AM,Entry,Stop1,-100,2565,0,100,55,155,0,-1,1
517,NQ 03-20,Replay101,20_20,Short,1,9101.75,9096.75,01/16/2020 9:43 AM,01/16/2020 9:53 AM,Entry,Target1,100,2665,0,80,100,0,0,1,-1
518,NQ 03-20,Replay101,20_20,Short,1,9091.75,9096.75,01/16/2020 9:59 AM,01/16/2020 10:00 AM,Entry,Stop1,-100,2565,0,100,40,140,0,-1,-1
519,NQ 03-20,Replay101,20_20,Long,1,9091,9086,01/16/2020 10:14 AM,01/16/2020 10:14 AM,Entry,Stop1,-100,2465,0,100,0,0,0,-1,1
520,NQ 03-20,Replay101,20_20,Short,1,9083,9088,01/16/2020 10:19 AM,01/16/2020 10:26 AM,Entry,Stop1,-100,2365,0,100,50,150,0,-1,-1
521,NQ 03-20,Replay101,20_20,Long,1,9087.25,9092.25,01/16/2020 10:33 AM,01/16/2020 10:36 AM,Entry,Target1,100,2465,0,40,100,0,0,1,1
522,NQ 03-20,Replay101,20_20,Short,1,9094.25,9089.25,01/16/2020 11:10 AM,01/16/2020 12:13 PM,Entry,Target1,100,2565,0,80,110,10,0,1,-1
523,NQ 03-20,Replay101,20_20,Long,1,9093.25,9098.25,01/16/2020 12:26 PM,01/16/2020 12:33 PM,Entry,Target1,100,2665,0,25,100,0,0,1,1
524,NQ 03-20,Replay101,20_20,Short,1,9106.75,9111.5,01/16/2020 1:32 PM,01/16/2020 2:18 PM,Entry,Stop1,-95,2570,0,100,80,175,0,-1,-1
